Id,Task Id,Related to Id,Related to Type
5560391,70005811220,70079934133,Contact
5560421,70005811250,70079894092,Contact
5560517,70005811346,70079894089,Contact
5560541,70005811370,70079894086,Contact
5586655,70005837568,70079894086,Contact
5586782,70005837698,70080159746,Contact
5609957,70005861023,70080271778,Contact
5610079,70005861146,70080271772,Contact
5610797,70005861870,70080385258,Contact
5620195,70005871326,70080334912,Contact
5620304,70005871441,70080418258,Contact
5653095,70005904308,70080500525,Contact
5653709,70005904933,70080500525,Contact
5655230,70005906467,70080727237,Contact
5656262,70005907503,70080727238,Contact
5656300,70005907541,70080670380,Contact
5656985,70005908227,70080635871,Contact
5673866,70005925150,70080670382,Contact
5683205,70005934522,70073809297,Contact
5730948,70005982299,70080500524,Contact
5730996,70005982349,70073809297,Contact
5731892,70005983250,70080842024,Contact
5732894,70005984265,70080885759,Contact
5734646,70005986022,70080989979,Contact
5744367,70005995784,70080937467,Contact
5759089,70006010556,70073809312,Contact
5766806,70006018283,70081124738,Contact
5766814,70006018291,70081124738,Contact
5781879,70006033361,70081144502,Contact
5781898,70006033380,70081144499,Contact
5781930,70006033412,70081144500,Contact
5782016,70006033498,70081108112,Contact
5835381,70006086950,70080984284,Contact
5835473,70006087042,70081184232,Contact
5835530,70006087099,70081309837,Contact
5842789,70006094370,70081429006,Contact
5843127,70006094708,70081429010,Contact
5843817,70006095406,70081066305,Contact
5844225,70006095816,70081214025,Contact
5844335,70006095926,70081272319,Contact
5844902,70006096493,70079839487,Contact
5845874,70006097467,70075881150,Contact
5845933,70006097526,70077525949,Contact
5845987,70006097580,70075881153,Contact
5846031,70006097624,70077525947,Contact
5846133,70006097726,70081429012,Contact
5846180,70006097773,70081340903,Contact
5846205,70006097798,70079750222,Contact
5855357,70006106969,70081552031,Contact
5855374,70006106986,70081552031,Contact
5855491,70006107104,70081585507,Contact
5855573,70006107186,70081585505,Contact
5905695,70006157425,70081035966,Contact
5905819,70006157549,70081066306,Contact
5905954,70006157684,70081214026,Contact
5919568,70006171363,70081066306,Contact
5953694,70006205586,70082023986,Contact
5963653,70006215608,70082305542,Contact
6057366,70006309720,70082574997,Contact
6064169,70006316556,70083032300,Contact
6065151,70006317542,70083160179,Contact
6065196,70006317587,70083091174,Contact
6067900,70006320295,70083160179,Contact
6068355,70006320750,70083032296,Contact
6095955,70006348386,70083413852,Contact
6096043,70006348474,70083387710,Contact
6096170,70006348602,70083413857,Contact
6096238,70006348670,70083413855,Contact
6096311,70006348743,70083387706,Contact
6096413,70006348845,70083413854,Contact
6096458,70006348890,70083228486,Contact
6106192,70006358636,70083333262,Contact
6120214,70006372728,70083333260,Contact
6120588,70006373105,70083333260,Contact
6120960,70006373477,70083512178,Contact
6124004,70006376525,70083478188,Contact
6166450,70006419040,70083478188,Contact
6167067,70006419658,70083611700,Contact
6167221,70006419814,70083684065,Contact
6167405,70006419998,70083684067,Contact
6175427,70006428066,70083722088,Contact
6193801,70006446470,70083784751,Contact
6193867,70006446536,70083750571,Contact
6194008,70006446677,70083784746,Contact
6194069,70006446739,70083784747,Contact
6196665,70006449342,70083784750,Contact
6196845,70006449523,70083812550,Contact
6196991,70006449669,70083865290,Contact
6197048,70006449726,70083841591,Contact
6203938,70006456632,70083905895,Contact
6230057,70006482854,70084011814,Contact
6230111,70006482908,70083979823,Contact
6230201,70006482998,70083979824,Contact
6236832,70006489673,70084051945,Contact
6236990,70006489831,70084051945,Contact
6237068,70006489909,70084087780,Contact
6237174,70006490015,70084134948,Contact
6237300,70006490141,70084134950,Contact
6249325,70006502224,70084134948,Contact
6249392,70006502291,70084180976,Contact
6249414,70006502313,70084180973,Contact
6249724,70006502623,70084262426,Contact
6249875,70006502774,70083812550,Contact
6271916,70006524822,70084134948,Contact
6283016,70006535994,70084337303,Contact
6284070,70006537048,70084437984,Contact
6287450,70006540446,70084437981,Contact
6307792,70006560889,70084525144,Contact
6307869,70006560966,70084593581,Contact
6320655,70006573803,70084658674,Contact
6333143,70006586330,70084806698,Contact
6333204,70006586391,70084845003,Contact
6333281,70006586468,70084879888,Contact
6334301,70006587489,70084736116,Contact
6357755,70006610975,70084919267,Contact
6357810,70006611030,70084986483,Contact
6357899,70006611119,70085028296,Contact
6357959,70006611181,70084919265,Contact
6358062,70006611284,70085028292,Contact
6358127,70006611349,70085028293,Contact
6366579,70006619805,70085115543,Contact
6376918,70006630211,70085074097,Contact
6377598,70006630891,70085115545,Contact
6380983,70006634283,70085205678,Contact
6381040,70006634340,70085205679,Contact
6381121,70006634421,70085205680,Contact
6394502,70006647863,70085283612,Contact
6394826,70006648189,70085283611,Contact
6409623,70006663053,70085327150,Contact
6445040,70006698539,70085567421,Contact
6445155,70006698654,70085567419,Contact
6445784,70006699286,70085400201,Contact
6445916,70006699418,70085507730,Contact
6446088,70006699590,70085567418,Contact
6446170,70006699672,70085507729,Contact
6448118,70006701628,70085628045,Contact
6448704,70006702214,70085628048,Contact
6468314,70006721880,70085703056,Contact
6469324,70006722894,70085327147,Contact
6469502,70006723072,70085444156,Contact
6478537,70006732129,70085616828,Contact
6488634,70006742242,70085668956,Contact
6488638,70006742246,70085907672,Contact
6488792,70006742400,70085205680,Contact
6505622,70006759242,70085205680,Contact
6510866,70006764492,70085942823,Contact
6510911,70006764537,70085942822,Contact
6519322,70006772959,70086040438,Contact
6520387,70006774031,70086071497,Contact
6520453,70006774097,70086071498,Contact
6520833,70006774477,70086163182,Contact
6522670,70006776327,70086040439,Contact
6530580,70006784280,70086207962,Contact
6557432,70006811236,70086332625,Contact
6557472,70006811276,70086287572,Contact
6562194,70006816016,70086332624,Contact
6562514,70006816336,70086456186,Contact
6562725,70006816547,70086490473,Contact
6562867,70006816690,70086245375,Contact
6564665,70006818489,70086332624,Contact
6594483,70006848387,70086122124,Contact
6619271,70006873312,70086615893,Contact
6621230,70006875280,70086788487,Contact
6621514,70006875564,70086889407,Contact
6621590,70006875641,70086826190,Contact
6622367,70006876420,70086826190,Contact
6622930,70006876984,70086889408,Contact
6622973,70006877028,70086788484,Contact
6623002,70006877058,70086745264,Contact
6644615,70006898733,70087055320,Contact
6644632,70006898750,70084134948,Contact
6670229,70006924377,70087091019,Contact
6670395,70006924544,70087219804,Contact
6670450,70006924599,70087183147,Contact
6677372,70006931545,70087154547,Contact
6692641,70006946910,70124332460,Contact
6889617,70007145645,70077525949,Contact
7038917,70007295563,70089283939,Contact
7169416,70007426774,70090132082,Contact
7278819,70007536931,70090646646,Contact
7286957,70007545158,70090845169,Contact
7446151,70007705489,70092439753,Contact
7446206,70007705544,70092439754,Contact
7584865,70007845004,70093247891,Contact
7631928,70007892468,70094147514,Contact
7848912,70008114338,70095228103,Contact
8083258,70008349181,70098323812,Contact
8083318,70008349241,70098415635,Contact
8083572,70008349496,70098415637,Contact
8584763,70008852041,70101975556,Contact
8585697,70008852975,70101177326,Contact
8592200,70008859496,70102681189,Contact
8592411,70008859707,70102772911,Contact
8592617,70008859913,70102815852,Contact
8595030,70008862327,70102977326,Contact
8737186,70009008685,70104186634,Contact
8771832,70009043339,70083812550,Contact
8804831,70009077618,70104989658,Contact
8804907,70009077694,70104989655,Contact
8805385,70009078172,70104989651,Contact
8805662,70009078449,70104417414,Contact
8806905,70009079692,70104276449,Contact
8807536,70009080323,70105040685,Contact
8838929,70009111752,70105314480,Contact
8839623,70009112446,70105261179,Contact
8839852,70009112675,70105261175,Contact
8841101,70009113924,70105261175,Contact
8851316,70009124144,70105421006,Contact
8910089,70009182936,70105991099,Contact
8920509,70009193333,70106132681,Contact
8920750,70009193563,70106169774,Contact
8920844,70009193657,70106126743,Contact
8929747,70009202303,70106239014,Contact
8929802,70009202358,70106273179,Contact
8929900,70009202456,70106297120,Contact
8971649,70009243761,70106580210,Contact
8971741,70009243853,70106633483,Contact
8971897,70009244008,70106633484,Contact
8978255,70009250368,70105991101,Contact
8978429,70009250542,70106709371,Contact
9010763,70009282882,70106416231,Contact
9011190,70009283309,70106512516,Contact
9014196,70009286316,70106988865,Contact
9057318,70009329439,70107371846,Contact
9057388,70009329509,70107446846,Contact
9057665,70009329786,70107371847,Contact
9058134,70009330256,70107371845,Contact
9064970,70009337093,70107585563,Contact
9065034,70009337157,70107585561,Contact
9065139,70009337262,70107216457,Contact
9084626,70009356737,70107779111,Contact
9127787,70009399908,70107977422,Contact
9136094,70009408216,70108106019,Contact
9146143,70009418269,70107371845,Contact
9158358,70009430492,70108415095,Contact
9162940,70009435075,70108563582,Contact
9163058,70009435193,70108563581,Contact
9163387,70009435522,70108501895,Contact
9163483,70009435618,70108501892,Contact
9175774,70009447910,70108641246,Contact
9198706,70009470843,70108826589,Contact
9264813,70009536959,70109567393,Contact
9265018,70009537164,70109508758,Contact
9280968,70009553118,70109818491,Contact
9281006,70009553157,70107371845,Contact
9301671,70009573823,70109948346,Contact
9301722,70009573874,70110080846,Contact
9301808,70009573960,70110132186,Contact
9319936,70009592089,70110268752,Contact
9320248,70009592401,70109948346,Contact
9334727,70009606887,70110412357,Contact
9335750,70009607910,70110412364,Contact
9359492,70009631659,70110412357,Contact
9388634,70009660805,70111173181,Contact
9389527,70009661698,70110934272,Contact
9389792,70009661963,70110639236,Contact
9406328,70009678507,70109567393,Contact
9418182,70009690372,70111318727,Contact
9418357,70009690547,70111317422,Contact
9418449,70009690639,70110412357,Contact
9418523,70009690713,70111453079,Contact
9455509,70009727705,70111719351,Contact
9455566,70009727762,70111584944,Contact
9458516,70009730714,70110408484,Contact
9486749,70009758952,70111719351,Contact
9506097,70009778307,70112178408,Contact
9522531,70009794750,70112381704,Contact
9522978,70009795197,70110408484,Contact
9524608,70009796825,70110412357,Contact
9581677,70009853908,70110412357,Contact
9590616,70009862851,70112852398,Contact
9590837,70009863071,70113163360,Contact
9590943,70009863177,70112704194,Contact
9600994,70009873230,70113262349,Contact
9689931,70009962160,70114096594,Contact
9705113,70009977343,70114245338,Contact
9715165,70009987397,70114245338,Contact
9768867,70010041103,70114932602,Contact
9779725,70010051965,70114835054,Contact
9779784,70010052024,70114835060,Contact
9828638,70010100879,70116029653,Contact
9828980,70010101222,70115455377,Contact
9829157,70010101399,70115539922,Contact
9839329,70010111603,70115539922,Contact
9840085,70010112363,70116168468,Contact
9852069,70010124330,70116383325,Contact
9898557,70010170824,70116782950,Contact
9899766,70010172033,70086889408,Contact
9905892,70010178160,70086889408,Contact
9919275,70010191550,70116782950,Contact
9930641,70010202926,70116782950,Contact
9930833,70010203118,70086889408,Contact
9946283,70010218573,70117408308,Contact
9946451,70010218741,70117263208,Contact
9947505,70010219795,70117292944,Contact
9990358,70010262649,70117292944,Contact
9998634,70010270925,70117585256,Contact
10007398,70010279675,70117638624,Contact
10008058,70010280331,70116782950,Contact
10018227,70010290474,70117898950,Contact
10019439,70010291685,70118044481,Contact
10073046,70010345323,70118504605,Contact
10074150,70010346428,70116782950,Contact
10077575,70010349856,70118542711,Contact
10078655,70010350939,70118297276,Contact
10095267,70010367556,70118297276,Contact
10096231,70010368521,70116782950,Contact
10115946,70010388242,70119106186,Contact
10131515,70010403804,70119272788,Contact
10171621,70010443919,70119272788,Contact
10218092,70010490397,70119272788,Contact
10242678,70010514970,70119272788,Contact
10288969,70010561327,70119860247,Contact
10290173,70010562533,70120361064,Contact
10554510,70010826935,70122752299,Contact
10554638,70010827063,70122665126,Contact
10555568,70010827994,70122885042,Contact
10555581,70010828007,70122756762,Contact
10556338,70010828764,70122665092,Contact
10558783,70010831210,70122665093,Contact
10559107,70010831534,70122665121,Contact
10559181,70010831608,70122665107,Contact
10560778,70010833205,70122665094,Contact
10568872,70010841298,70122665110,Contact
10571626,70010844053,70122752299,Contact
10571934,70010844361,70122752298,Contact
10577796,70010850205,70122967091,Contact
10639639,70010912034,70123179572,Contact
10660135,70010932464,70123915052,Contact
10670080,70010942420,70124077039,Contact
10670157,70010942497,70124035695,Contact
10679142,70010951489,70124288919,Contact
10683155,70010955504,70124318832,Contact
10683431,70010955781,70124332464,Contact
10686413,70010958743,70124398321,Contact
10689627,70010961958,70124470859,Contact
10689850,70010962181,70124446107,Contact
10689873,70010962204,70124470859,Contact
10689890,70010962221,70124455749,Contact
10706271,70010978604,70124583585,Contact
10707077,70010979410,70124654478,Contact
10707521,70010979854,70124661545,Contact
10710155,70010982489,70124494141,Contact
10710361,70010982695,70124494141,Contact
10710392,70010982726,70124654478,Contact
10710453,70010982787,70124661545,Contact
10710521,70010982855,70124503731,Contact
10710759,70010983090,70124583492,Contact
10710872,70010983203,70124440136,Contact
10710919,70010983250,70124440488,Contact
10710959,70010983290,70124458986,Contact
10710975,70010983306,70124661545,Contact
10710995,70010983326,70124702360,Contact
10717495,70010989827,70124332464,Contact
10727704,70011000045,70122752299,Contact
10727862,70011000203,70124897169,Contact
10730274,70011002617,70124965485,Contact
10730410,70011002753,70074023080,Contact
10733683,70011006030,70081514058,Contact
10733706,70011006053,70074023080,Contact
10733875,70011006222,70125008222,Contact
10734146,70011006494,70124980719,Contact
10737204,70011009555,70125055972,Contact
10741746,70011014094,70125089836,Contact
10742266,70011014614,70124980719,Contact
10751734,70011024084,70125008222,Contact
10751879,70011024229,70124583585,Contact
10752143,70011024493,70081514058,Contact
10772125,70011044479,70125551709,Contact
10772453,70011044807,70125467763,Contact
10772986,70011045340,70125369081,Contact
10773122,70011045476,70125555009,Contact
10774177,70011046531,70125466621,Contact
10774234,70011046588,70125467765,Contact
10774695,70011047050,70125366581,Contact
10775165,70011047522,70124965485,Contact
10775211,70011047568,70125203746,Contact
10776469,70011048826,70125517867,Contact
10781004,70011053361,70125592266,Contact
10781096,70011053453,70125636268,Contact
10784312,70011056671,70125654140,Contact
10784374,70011056733,70125654139,Contact
10784749,70011057108,70125654137,Contact
10785671,70011058030,70125654138,Contact
10789495,70011061845,70125615823,Contact
10789818,70011062168,70125596412,Contact
10789944,70011062294,70125722139,Contact
10790378,70011062728,70125757485,Contact
10792330,70011064684,70125673188,Contact
10795214,70011067568,70073143326,Contact
10799927,70011072271,70125466621,Contact
10800091,70011072435,70124440136,Contact
10800193,70011072537,70125722139,Contact
10800260,70011072604,70125654138,Contact
10802984,70011075329,70125916888,Contact
10803111,70011075456,70125922771,Contact
10803197,70011075542,70125922774,Contact
10803367,70011075712,70125410946,Contact
10803399,70011075744,70123293024,Contact
10803489,70011075834,70123293024,Contact
10803534,70011075879,70125967677,Contact
10803958,70011076303,70125950245,Contact
10812237,70011084587,70126076624,Contact
10812404,70011084755,70126036398,Contact
10812432,70011084783,70086071497,Contact
10812516,70011084867,70125467763,Contact
10812571,70011084922,70125466621,Contact
10812959,70011085311,70123550377,Contact
10813237,70011085589,70126089648,Contact
10813356,70011085708,70125654138,Contact
10813567,70011085919,70124332464,Contact
10815608,70011087961,70126108654,Contact
10815865,70011088218,70112178408,Contact
10819883,70011092237,70126139403,Contact
10819917,70011092271,70126139784,Contact
10819944,70011092298,70126140147,Contact
10820081,70011092435,70126191109,Contact
10823344,70011095700,70126131594,Contact
10840058,70011112407,70126440700,Contact
10840215,70011112564,70126364450,Contact
10840269,70011112618,70126367851,Contact
10840358,70011112707,70126361583,Contact
10840622,70011112972,70126366594,Contact
10841290,70011113640,70124398321,Contact
10841467,70011113817,70124455749,Contact
10841563,70011113913,70126461319,Contact
10841623,70011113973,70126332970,Contact
10843667,70011116015,70125654138,Contact
10844280,70011116630,70086071497,Contact
10844438,70011116793,70125922775,Contact
10844511,70011116866,70126502230,Contact
10844616,70011116976,70126505082,Contact
10848893,70011121257,70126508520,Contact
10848922,70011121286,70126595592,Contact
10849100,70011121464,70126505072,Contact
10853534,70011125896,70126621563,Contact
10859424,70011131771,70126328492,Contact
10859723,70011132072,70124494141,Contact
10859922,70011132271,70126702520,Contact
10862914,70011135272,70126679695,Contact
10862957,70011135315,70126764041,Contact
10863027,70011135385,70126770057,Contact
10866730,70011139094,70126787910,Contact
10866944,70011139308,70126799924,Contact
10867044,70011139408,70126840636,Contact
10867536,70011139900,70073143326,Contact
10867575,70011139939,70124440136,Contact
10867652,70011140016,70125922771,Contact
10867877,70011140241,70126191109,Contact
10867939,70011140303,70126323337,Contact
10868246,70011140610,70126364450,Contact
10868259,70011140623,70126366594,Contact
10871034,70011143396,70125636268,Contact
10871078,70011143440,70125654140,Contact
10871107,70011143469,70125727137,Contact
10900064,70011172442,70111872636,Contact
10948334,70011220662,70127929639,Contact
10995918,70011268278,70128600953,Contact
10996965,70011269325,70128216231,Contact
10998340,70011270701,70128426935,Contact
11002446,70011274805,70127638518,Contact
11002477,70011274836,70126923909,Contact
11002661,70011275019,70127046568,Contact
11002751,70011275108,70127055033,Contact
11002900,70011275257,70127293797,Contact
11003226,70011275583,70127295049,Contact
11003321,70011275678,70127306362,Contact
11003459,70011275816,70127326077,Contact
11003564,70011275921,70127352623,Contact
11006039,70011278396,70127494818,Contact
11007525,70011279887,70128936771,Contact
11007597,70011279959,70128885591,Contact
11012064,70011284424,70127178770,Contact
11012104,70011284464,70126366594,Contact
11012133,70011284493,70126191109,Contact
11012159,70011284519,70126679695,Contact
11012166,70011284526,70126508520,Contact
11012185,70011284545,70126764041,Contact
11012221,70011284581,70124494141,Contact
11012277,70011284637,70126328492,Contact
11012290,70011284650,70126131594,Contact
11032102,70011304464,70129165941,Contact
11034535,70011306899,70129187297,Contact
11034794,70011307158,70128774193,Contact
11049969,70011322317,70129492854,Contact
11060710,70011333061,70129157645,Contact
11068897,70011341255,70129165941,Contact
11096279,70011368649,70129933811,Contact
11112252,70011384598,70126502230,Contact
11112357,70011384703,70130306705,Contact
11112450,70011384796,70130306706,Contact
11112501,70011384847,70130306707,Contact
11113217,70011385563,70130306708,Contact
11113447,70011385793,70130327677,Contact
11120491,70011392848,70130306705,Contact
11120609,70011392966,70130306706,Contact
11128745,70011401101,70130461934,Contact
11129927,70011402284,70130495027,Contact
11130176,70011402533,70129165941,Contact
11130454,70011402811,70130306706,Contact
11132614,70011404973,70130533963,Contact
11132835,70011405194,70130533963,Contact
11140711,70011413072,70130723082,Contact
11141441,70011413802,70130724780,Contact
11152750,70011425115,70130978140,Contact
11162685,70011435030,70130724780,Contact
11163248,70011435591,70131159417,Contact
11171024,70011443346,70131212691,Contact
11172498,70011444820,70131312340,Contact
11182839,70011455166,70131425427,Contact
11182940,70011455267,70131312340,Contact
11183142,70011455469,70129165941,Contact
11183222,70011455549,70130461934,Contact
11189705,70011462023,70131554838,Contact
11196837,70011469120,70130461934,Contact
11197368,70011469651,70129165941,Contact
11212519,70011484805,70129165941,Contact
11217834,70011490123,70131961917,Contact
11217983,70011490272,70132108356,Contact
11223380,70011495655,70132274155,Contact
11223530,70011495805,70131961917,Contact
11223696,70011495971,70132108356,Contact
11231300,70011503578,70132274155,Contact
11231344,70011503622,70132108356,Contact
11235062,70011507341,70132495585,Contact
11270992,70011543253,70132638299,Contact
11271742,70011544003,70132274155,Contact
11275302,70011547568,70132708688,Contact
11279018,70011551277,70132108356,Contact
11286150,70011558406,70132941849,Contact
11286254,70011558510,70132708688,Contact
11302757,70011575023,70133235703,Contact
11303197,70011575463,70133168536,Contact
11303780,70011576046,70131961917,Contact
11307357,70011579620,70133168536,Contact
11307444,70011579707,70133316552,Contact
11311897,70011584150,70132941849,Contact
11311958,70011584211,70131312340,Contact
11311966,70011584219,70131312340,Contact
11313481,70011585734,70133349931,Contact
11316181,70011588434,70133473356,Contact
11320747,70011593011,70133626724,Contact
11321306,70011593573,70132108356,Contact
11321836,70011594103,70133168536,Contact
11342541,70011614796,70132708688,Contact
11342697,70011614952,70133805149,Contact
11342794,70011615049,70133730019,Contact
11353329,70011625572,70133732106,Contact
11353377,70011625620,70133735679,Contact
11353454,70011625697,70133948437,Contact
11353641,70011625884,70133980692,Contact
11353776,70011626019,70133948444,Contact
11353896,70011626139,70133948443,Contact
11364293,70011636542,70134075141,Contact
11364368,70011636617,70134157942,Contact
11365180,70011637429,70134175939,Contact
11373220,70011645456,70134338181,Contact
11373243,70011645480,70134333648,Contact
11373589,70011645826,70134075141,Contact
11373639,70011645876,70134226629,Contact
11373824,70011646061,70131961917,Contact
11380029,70011652272,70134512276,Contact
11380162,70011652405,70132941849,Contact
11420357,70011692593,70135169718,Contact
11428108,70011700343,70132708688,Contact
11428798,70011701034,70135265917,Contact
11429527,70011701763,70135502221,Contact
11429610,70011701846,70135619728,Contact
11438549,70011710786,70135709432,Contact
11441820,70011714078,70135798654,Contact
11455970,70011728234,70136044270,Contact
11456036,70011728300,70136091069,Contact
11461202,70011733465,70136044270,Contact
11461293,70011733556,70136091069,Contact
11461339,70011733602,70136200128,Contact
11461366,70011733629,70136191606,Contact
11462385,70011734648,70136248407,Contact
11464775,70011737038,70136248309,Contact
11464873,70011737136,70136248314,Contact
11464990,70011737252,70136248311,Contact
11465152,70011737414,70136191606,Contact
11465164,70011737426,70136275479,Contact
11485433,70011757703,70136310136,Contact
11485519,70011757789,70136093701,Contact
11485546,70011757816,70136281565,Contact
11485630,70011757900,70136281112,Contact
11487305,70011759575,70136492598,Contact
11487425,70011759695,70136696223,Contact
11487543,70011759813,70136606902,Contact
11490117,70011762389,70136628384,Contact
11490348,70011762620,70136710384,Contact
11490564,70011762836,70136719893,Contact
11494535,70011766809,70136776885,Contact
11494605,70011766879,70136842977,Contact
11514800,70011787086,70137174018,Contact
11529038,70011801323,70137182869,Contact
11529327,70011801612,70137455755,Contact
11530136,70011802421,70137512377,Contact
11530236,70011802521,70137182866,Contact
11532515,70011804803,70137379689,Contact
11532624,70011804912,70137512378,Contact
11532657,70011804945,70137343409,Contact
11532785,70011805073,70137174018,Contact
11533324,70011805612,70137598673,Contact
11537116,70011809399,70137174018,Contact
11537438,70011809721,70137598673,Contact
11537714,70011809997,70137676197,Contact
11537821,70011810104,70137182866,Contact
11541368,70011813653,70137755363,Contact
11544913,70011817198,70137834921,Contact
11544954,70011817239,70137865395,Contact
11545113,70011817398,70137343409,Contact
11545139,70011817424,70137676197,Contact
11545195,70011817480,70137512378,Contact
11545327,70011817612,70137379689,Contact
11553367,70011825651,70137919484,Contact
11554544,70011826828,70132708688,Contact
11559721,70011832006,70138135450,Contact
11559768,70011832053,70138064205,Contact
11559843,70011832129,70136719893,Contact
11559954,70011832240,70137834921,Contact
11560088,70011832374,70137676197,Contact
11560141,70011832426,70137343409,Contact
11560275,70011832559,70137182866,Contact
11560488,70011832768,70137512378,Contact
11560567,70011832846,70137379689,Contact
11567906,70011840180,70138285837,Contact
11569659,70011841933,70138323876,Contact
